ColumnHeader,Measurement,Gravels,Stones,Treatment,Depth,Column,Block,Sensor,Units,Summary,MUX,Port
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(32,6)",VoltageRatio,Deep,Stony,B,D4,8,2,S_32,-,Samp,2,8
"CS650(33,1)",VolumetricWaterContent,Shallow,VeryStony,F,D1,9,2,S_33,mm3/mm3,Samp,2,9
"CS650(33,2)",ElectricalConductivity,Shallow,VeryStony,F,D1,9,2,S_33,dS/m,Samp,2,9
"CS650(33,3)",Temperature,Shallow,VeryStony,F,D1,9,2,S_33,oC,Samp,2,9
"CS650(33,4)",Permittivity,Shallow,VeryStony,F,D1,9,2,S_33,-,Samp,2,9
"CS650(33,5)",Period,Shallow,VeryStony,F,D1,9,2,S_33,uSec,Samp,2,9
"CS650(33,6)",VoltageRatio,Shallow,VeryStony,F,D1,9,2,S_33,-,Samp,2,9
"CS650(34,1)",VolumetricWaterContent,Shallow,VeryStony,F,D2,9,2,S_34,mm3/mm3,Samp,2,10
"CS650(34,2)",ElectricalConductivity,Shallow,VeryStony,F,D2,9,2,S_34,dS/m,Samp,2,10
"CS650(34,3)",Temperature,Shallow,VeryStony,F,D2,9,2,S_34,oC,Samp,2,10
"CS650(34,4)",Permittivity,Shallow,VeryStony,F,D2,9,2,S_34,-,Samp,2,10
"CS650(34,5)",Period,Shallow,VeryStony,F,D2,9,2,S_34,uSec,Samp,2,10
"CS650(34,6)",VoltageRatio,Shallow,VeryStony,F,D2,9,2,S_34,-,Samp,2,10
"CS650(35,1)",VolumetricWaterContent,Shallow,VeryStony,F,D3,9,2,S_35,mm3/mm3,Samp,2,11
"CS650(35,2)",ElectricalConductivity,Shallow,VeryStony,F,D3,9,2,S_35,dS/m,Samp,2,11
"CS650(35,3)",Temperature,Shallow,VeryStony,F,D3,9,2,S_35,oC,Samp,2,11
"CS650(35,4)",Permittivity,Shallow,VeryStony,F,D3,9,2,S_35,-,Samp,2,11
